code,name
high_risk,底线类风险
advertise_campaign,广告营销内容
politics,内容涉政
indu,indu
lims,lims
goods_complaints,商品投诉
risk_order_reminder,风险订单提醒
reli,宗教
marketing_security,营销安全
corr,腐蚀品
highrisk_brand,高危品牌
cheating_and_deceitful_practices,作弊和欺骗行为
ban_vulgar,低俗
seller_fraud,卖家欺诈
ban_control,制裁及其他管制类
fiam,枪支弹药
knif,刀具
ille,非法
insu,侮辱
Violence,内容涉暴
orders_complaint,订单投诉
othe,othe
ban_apparatus,管制器具
limit_sales,限售
commission_bill,佣金账单
inva,隐私
copyright,著作权
ban_salacity,色情暴力
Banned_information,禁售信息
Prohibited_restricted,禁限售
live_serious_child_salacity,儿童色情
ban_illegal,违反目的国法律法规类
live_military,一般军政
ban_guns,枪支弹药
ban_child_exploitation,儿童剥削
shipping_remind,发货提醒
mape,军警用具
terrorism,内容涉恐
MERCHANT_FRAUD,商家欺诈
limit_GMP,兽药
live_serious_violation,直播严重违规
low_price_product,超低价商品
ban_police,军警用品
pornography,内容涉黄
garbage_registration,垃圾注册
ban_drugs,管制药品
storeinfo_verify,店铺信息检测
flam,易燃品
gambling,内容涉赌
Email_marketing,邮件营销敏感内容
ban_narcotics,毒品及相关工具
ban_terrorist,暴恐分裂
keyword,关键词
poli,涉政
pros,pros
disposal_warning,处置预警
buyer_short_time_cnt,买家短期高频
EMAIL_VERIFY,邮箱检测
fund_security,资金安全
narc,毒品
viol,暴恐
IP_INFRINGEMENT,知识产权侵权
ban_tobacco,烟草及相关产品
false_registration,虚假注册
dang,危险品
BAN_SELL,禁限售
ANTI_BRUSH,防刷
live_salacity,低俗涉黄
live_serious_salacity,色情
limit_food,食品
ban_hunting_tools,人体器官、动植物及捕杀工具
expl,爆炸物
advertise_material,广告素材
live_child_salacity,未成年低俗
storename_illegal,非法店铺名称
ban_illegal_service,非法服务
ban_explosive,易燃易爆物品
live_serious_politics,严重涉政
Payment_function_reminder,支付功能提醒
account_security,账号安全
Restricted_information,限售信息
gamb,涉赌
live_violence,血腥暴力
patent,专利
limit_plant,植物
common_brand,普通品牌
EMAIL_ERROR,邮箱错误
live_serious_narcotics,涉毒
trademark_infringement,商标侵权
advertise_page,广告公共主页
limit_medical_equipment,医疗器械
buyer_fraud,买家欺诈
ban_politics,非法政治
live_violation,直播一般违规
ban_stealing_tools,非法用途产品
ban_chemicals,危险化学品
race,种族
ban_sales,禁售
ban_gambling,赌博
sensitive_information,敏感内容信息
porn,色情
drug_content,内容涉毒
trademark,商标侵权
illegal_service,提供非法服务
live_serious_suicide,危害生命
