code,name,new
highrisk_brand,高危品牌,知识产权侵权
ban_vulgar,低俗,禁限售
fiam,枪支弹药,禁限售
ban_apparatus,管制器具,禁限售
ban_salacity,色情暴力,禁限售
Prohibited_restricted,禁限售,禁限售
ban_guns,枪支弹药,禁限售
ban_child_exploitation,儿童剥削,禁限售
limit_GMP,兽药,禁限售
ban_police,军警用品,禁限售
ban_drugs,管制药品,禁限售
ban_narcotics,毒品及相关工具,禁限售
ban_terrorist,暴恐分裂,禁限售
IP_INFRINGEMENT,知识产权侵权,知识产权侵权
ban_tobacco,烟草及相关产品,禁限售
BAN_SELL,禁限售,禁限售
limit_food,食品,禁限售
ban_illegal_service,非法服务,禁限售
ban_explosive,易燃易爆物品,禁限售
limit_plant,植物,禁限售
common_brand,普通品牌,知识产权侵权
limit_medical_equipment,医疗器械,禁限售
ban_politics,非法政治,禁限售
ban_stealing_tools,非法用途产品,禁限售
ban_chemicals,危险化学品,禁限售
ban_gambling,赌博,禁限售
